case_id	case_num	case_dir	command
0000	0	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0000	python -c 'import time; print("case 0 start", flush=True); time.sleep(2); print("case 0 done", flush=True)'
0001	1	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0001	python -c 'import time; print("case 1 start", flush=True); time.sleep(2); print("case 1 done", flush=True)'
0002	2	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0002	python -c 'import time; print("case 2 start", flush=True); time.sleep(2); print("case 2 done", flush=True)'
0003	3	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0003	python -c 'import time; print("case 3 start", flush=True); time.sleep(2); print("case 3 done", flush=True)'
0004	4	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0004	python -c 'import time; print("case 4 start", flush=True); time.sleep(2); print("case 4 done", flush=True)'
0005	5	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0005	python -c 'import time; print("case 5 start", flush=True); time.sleep(2); print("case 5 done", flush=True)'
0006	6	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0006	python -c 'import time; print("case 6 start", flush=True); time.sleep(2); print("case 6 done", flush=True)'
0007	7	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0007	python -c 'import time; print("case 7 start", flush=True); time.sleep(2); print("case 7 done", flush=True)'
0008	8	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0008	python -c 'import time; print("case 8 start", flush=True); time.sleep(2); print("case 8 done", flush=True)'
0009	9	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0009	python -c 'import time; print("case 9 start", flush=True); time.sleep(2); print("case 9 done", flush=True)'
0010	10	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0010	python -c 'import time; print("case 10 start", flush=True); time.sleep(2); print("case 10 done", flush=True)'
0011	11	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0011	python -c 'import time; print("case 11 start", flush=True); time.sleep(2); print("case 11 done", flush=True)'
0012	12	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0012	python -c 'import time; print("case 12 start", flush=True); time.sleep(2); print("case 12 done", flush=True)'
0013	13	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0013	python -c 'import time; print("case 13 start", flush=True); time.sleep(2); print("case 13 done", flush=True)'
0014	14	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0014	python -c 'import time; print("case 14 start", flush=True); time.sleep(2); print("case 14 done", flush=True)'
0015	15	/Users/valva/Library/CloudStorage/OneDrive-UNICAN/repos/galerna/examples/snakemake_bulk_manual/runs/case_0015	python -c 'import time; print("case 15 start", flush=True); time.sleep(2); print("case 15 done", flush=True)'
